offer_id,user_id,advertisement_id,offer_price,offer_status,offer_date
1,34,181,291603854,Waiting,2024-10-01
2,6,200,701014885,Rejected,2023-09-17
3,8,154,311457492,Accepted,2021-01-19
4,45,163,377911387,Accepted,2021-05-08
5,44,42,417161680,Rejected,2023-11-23
6,43,20,587165514,Rejected,2020-08-12
7,4,64,423645540,Rejected,2024-04-10
8,30,136,181681803,Rejected,2022-04-20
9,44,81,424734603,Accepted,2022-12-31
10,30,96,416872233,Rejected,2023-01-21
11,32,52,731831903,Accepted,2020-03-01
12,15,118,384859987,Accepted,2024-11-16
13,39,56,224177049,Rejected,2020-02-22
14,3,102,529999291,Accepted,2023-12-20
15,2,163,61548291,Accepted,2022-01-24
16,31,134,709465307,Waiting,2022-06-13
17,15,131,645598510,Accepted,2020-10-15
18,24,162,618829439,Rejected,2023-01-01
19,25,105,208200282,Waiting,2021-08-21
20,50,54,88349475,Rejected,2023-12-01
21,38,82,620167260,Accepted,2023-05-15
22,16,2,374908058,Rejected,2023-04-08
23,15,12,513375075,Accepted,2023-06-23
24,45,10,56163284,Rejected,2023-03-05
25,9,159,399792728,Rejected,2020-10-06
26,44,89,421840591,Accepted,2024-08-12
27,48,106,353475623,Waiting,2023-05-07
28,41,116,665716820,Accepted,2023-12-22
29,1,105,761938043,Accepted,2022-06-25
30,27,163,391013109,Waiting,2022-08-15
31,17,97,457591286,Rejected,2021-12-15
32,40,149,430629140,Accepted,2023-04-14
33,31,39,425430511,Accepted,2022-10-12
34,38,3,380637655,Accepted,2021-02-25
35,50,46,481479218,Rejected,2024-04-19
36,50,174,861821418,Accepted,2023-10-07
37,36,24,184452951,Accepted,2021-04-24
38,41,2,460977377,Accepted,2024-08-04
39,14,177,292062123,Accepted,2023-06-02
40,19,24,85364685,Accepted,2023-02-23
41,39,170,187207927,Rejected,2020-12-09
42,12,67,294458184,Waiting,2021-07-18
43,5,106,842504637,Accepted,2020-05-04
44,23,54,479733878,Rejected,2021-11-15
45,47,39,57437900,Rejected,2021-11-24
46,39,39,57939193,Rejected,2020-11-22
47,41,17,788449437,Rejected,2022-11-16
48,39,67,58870767,Rejected,2022-01-19
49,30,40,641984547,Accepted,2021-02-03
50,13,100,230708186,Rejected,2020-10-11
51,11,167,591616842,Rejected,2020-11-20
52,40,174,484500486,Waiting,2020-03-20
53,36,12,403173575,Rejected,2021-02-25
54,3,32,265805052,Accepted,2024-03-31
55,42,66,785039778,Rejected,2021-06-27
56,24,104,543516199,Rejected,2023-04-05
57,45,16,637613392,Accepted,2023-04-28
58,24,188,193217052,Rejected,2021-08-26
59,24,53,683058674,Accepted,2020-06-26
60,26,65,506533243,Accepted,2023-10-26
61,34,160,59648459,Waiting,2021-12-13
62,31,197,642347598,Accepted,2021-08-31
63,28,35,61008031,Accepted,2020-01-21
64,10,147,225432286,Rejected,2023-07-31
65,11,14,333283244,Waiting,2020-08-16
66,12,50,502337348,Accepted,2022-04-27
67,5,172,372368402,Rejected,2020-07-05
68,26,183,403160046,Accepted,2023-08-27
69,8,4,660835276,Rejected,2020-05-27
70,26,7,157437794,Rejected,2024-12-29
71,34,32,66498122,Rejected,2020-03-19
72,32,97,284741167,Rejected,2021-01-01
73,21,82,335542727,Waiting,2021-10-08
74,14,136,84503240,Waiting,2022-02-15
75,34,165,158689628,Rejected,2023-08-12
76,1,140,551176280,Rejected,2021-02-01
77,40,163,630046182,Accepted,2021-03-29
78,19,65,232064909,Waiting,2020-09-03
79,11,183,160162158,Rejected,2022-12-17
80,26,100,67805779,Rejected,2020-08-05
81,30,8,668899561,Rejected,2022-05-27
82,18,15,757924494,Rejected,2024-09-24
83,47,3,500614259,Rejected,2022-08-17
84,23,132,144090825,Waiting,2024-08-13
85,26,3,159456836,Rejected,2024-04-14
86,2,47,187364882,Waiting,2023-05-25
87,36,179,492103461,Waiting,2023-07-14
88,18,98,340042124,Accepted,2020-10-04
89,5,32,265534661,Rejected,2020-11-20
90,34,193,384426615,Rejected,2024-06-23
91,43,80,621559329,Accepted,2021-10-29
92,34,126,482431305,Rejected,2022-08-18
93,6,91,74650193,Waiting,2024-05-30
94,31,93,611339921,Rejected,2021-08-13
95,14,64,67151109,Rejected,2021-04-21
96,7,37,726930985,Accepted,2020-11-12
97,6,163,445539056,Accepted,2023-12-03
98,13,60,488063597,Rejected,2022-06-21
99,11,104,201285572,Accepted,2023-08-24
100,42,132,157952560,Rejected,2020-10-16
